trp_gekokujo_mori_spearman_pl|长 州 步 兵 
trp_gekokujo_mori_skirmisher|长 州 散 兵 
trp_gekokujo_mori_skirmisher_pl|长 州 散 兵 
trp_gekokujo_mori_trained_spearman|熟 练 长 州 步 兵 
trp_gekokujo_mori_trained_spearman_pl|熟 练 长 州 步 兵 
trp_gekokujo_mori_trained_skirmisher|熟 练 长 州 散 兵 
trp_gekokujo_mori_trained_skirmisher_pl|熟 练 长 州 散 兵 
trp_gekokujo_mori_veteran_spearman|长 州 资 深 步 兵 
trp_gekokujo_mori_veteran_spearman_pl|长 州 资 深 步 兵 
trp_gekokujo_mori_veteran_skirmisher|长 州 资 深 散 兵 
trp_gekokujo_mori_veteran_skirmisher_pl|长 州 资 深 散 兵 
trp_gekokujo_mori_elite_spearman|精 锐 长 州 步 兵 
trp_gekokujo_mori_elite_spearman_pl|精 锐 长 州 步 兵 
trp_gekokujo_takeda_villager|会 津 新 兵 
trp_gekokujo_takeda_villager_pl|会 津 新 兵 
trp_gekokujo_takeda_spearman|会 津 步 兵 
trp_gekokujo_takeda_spearman_pl|会 津 步 兵 
trp_gekokujo_takeda_skirmisher|会 津 散 兵 
trp_gekokujo_takeda_skirmisher_pl|会 津 散 兵 
trp_gekokujo_takeda_trained_spearman|熟 练 会 津 步 兵 
trp_gekokujo_takeda_trained_spearman_pl|熟 练 会 津 步 兵 
trp_gekokujo_takeda_trained_skirmisher|熟 练 会 津 散 兵 
trp_gekokujo_takeda_trained_skirmisher_pl|熟 练 会 津 散 兵 
trp_gekokujo_takeda_veteran_spearman|资 深 会 津 步 兵 
trp_gekokujo_takeda_veteran_spearman_pl|资 深 会 津 步 兵 
trp_gekokujo_takeda_veteran_skirmisher|资 深 会 津 散 兵 
trp_gekokujo_takeda_veteran_skirmisher_pl|资 深 会 津 散 兵 
trp_gekokujo_takeda_elite_spearman|精 锐 会 津 步 兵 
trp_gekokujo_takeda_elite_spearman_pl|精 锐 会 津 步 兵 
trp_gekokujo_tokugawa_villager|德 川 新 兵 
trp_gekokujo_tokugawa_villager_pl|德 川 新 兵 
trp_gekokujo_tokugawa_spearman|德 川 步 兵 
trp_gekokujo_tokugawa_spearman_pl|德 川 步 兵 
trp_gekokujo_tokugawa_skirmisher|德 川 散 兵 
trp_gekokujo_tokugawa_skirmisher_pl|德 川 散 兵 
trp_gekokujo_tokugawa_trained_spearman|熟 练 德 川 步 兵 
trp_gekokujo_tokugawa_trained_spearman_pl|熟 练 德 川 步 兵 
trp_gekokujo_tokugawa_trained_skirmisher|熟 练 德 川 散 兵 
trp_gekokujo_tokugawa_trained_skirmisher_pl|熟 练 德 川 散 兵 
trp_gekokujo_tokugawa_veteran_spearman|资 深 德 川 步 兵 
trp_gekokujo_tokugawa_veteran_spearman_pl|资 深 德 川 步 兵 
trp_gekokujo_tokugawa_veteran_skirmisher|资 深 德 川 散 兵 
trp_gekokujo_tokugawa_veteran_skirmisher_pl|资 深 德 川 散 兵 
trp_gekokujo_tokugawa_elite_skirmisher|精 锐 德 川 散 兵 
trp_gekokujo_tokugawa_elite_skirmisher_pl|精 锐 德 川 散 兵 
trp_gekokujo_miyoshi_villager|德 岛 新 兵 
trp_gekokujo_miyoshi_villager_pl|德 岛 新 兵 
trp_gekokujo_miyoshi_spearman|德 岛 步 兵 
trp_gekokujo_miyoshi_spearman_pl|德 岛 步 兵 
trp_gekokujo_miyoshi_skirmisher|德 岛 散 兵 
trp_gekokujo_miyoshi_skirmisher_pl|德 岛 散 兵 
trp_gekokujo_miyoshi_trained_spearman|熟 练 德 岛 步 兵 
trp_gekokujo_miyoshi_trained_spearman_pl|熟 练 德 岛 步 兵 
trp_gekokujo_miyoshi_trained_skirmisher|熟 练 德 岛 散 兵 
trp_gekokujo_miyoshi_trained_skirmisher_pl|熟 练 德 岛 散 兵 
trp_gekokujo_miyoshi_veteran_spearman|资 深 德 岛 步 兵 
trp_gekokujo_miyoshi_veteran_spearman_pl|资 深 德 岛 步 兵 
trp_gekokujo_miyoshi_veteran_skirmisher|资 深 德 岛 步 兵 
trp_gekokujo_miyoshi_veteran_skirmisher_pl|资 深 德 岛 散 兵 
trp_gekokujo_miyoshi_elite_spearman|精 锐 德 岛 步 兵 
trp_gekokujo_miyoshi_elite_spearman_pl|精 锐 德 岛 步 兵 
trp_gekokujo_amako_villager|池 田 新 兵 
trp_gekokujo_amako_villager_pl|池 田 新 兵 
trp_gekokujo_amako_spearman|池 田 步 兵 
trp_gekokujo_amako_spearman_pl|池 田 步 兵 
trp_gekokujo_amako_skirmisher|池 田 散 兵 
trp_gekokujo_amako_skirmisher_pl|池 田 散 兵 
trp_gekokujo_amako_trained_spearman|熟 练 池 田 步 兵 
trp_gekokujo_amako_trained_spearman_pl|熟 练 池 田 步 兵 
trp_gekokujo_amako_trained_skirmisher|熟 练 池 田 散 兵 
trp_gekokujo_amako_trained_skirmisher_pl|熟 练 池 田 散 兵 
trp_gekokujo_amako_veteran_spearman|资 深 池 田 步 兵 
trp_gekokujo_amako_veteran_spearman_pl|资 深 池 田 步 兵 
trp_gekokujo_amako_veteran_skirmisher|资 深 池 田 散 兵 
trp_gekokujo_amako_veteran_skirmisher_pl|资 深 池 田 散 兵 
trp_gekokujo_amako_elite_skirmisher|精 锐 池 田 散 兵 
trp_gekokujo_amako_elite_skirmisher_pl|精 锐 池 田 散 兵 
trp_gekokujo_otomo_villager|细 川 新 兵 
trp_gekokujo_otomo_villager_pl|细 川 新 兵 
trp_gekokujo_otomo_spearman|细 川 步 兵 
trp_gekokujo_otomo_spearman_pl|细 川 步 兵 
trp_gekokujo_otomo_skirmisher|细 川 散 兵 
trp_gekokujo_otomo_skirmisher_pl|细 川 散 兵 
trp_gekokujo_otomo_trained_spearman|熟 练 细 川 步 兵 
trp_gekokujo_otomo_trained_spearman_pl|熟 练 细 川 步 兵 
trp_gekokujo_otomo_trained_skirmisher|熟 练 细 川 散 兵 
trp_gekokujo_otomo_trained_skirmisher_pl|熟 练 细 川 散 兵 
trp_gekokujo_otomo_veteran_spearman|资 深 细 川 步 兵 
trp_gekokujo_otomo_veteran_spearman_pl|资 深 细 川 步 兵 
trp_gekokujo_otomo_veteran_skirmisher|资 深 细 川 散 兵 
trp_gekokujo_otomo_veteran_skirmisher_pl|资 深 细 川 散 兵 
trp_gekokujo_otomo_elite_spearman|精 锐 细 川 步 兵 
trp_gekokujo_otomo_elite_spearman_pl|精 锐 细 川 步 兵 
trp_rising_sun_hirosaki_villager|弘 前 新 兵 
trp_rising_sun_hirosaki_villager_pl|弘 前 新 兵 
trp_rising_sun_hirosaki_spearman|弘 前 步 兵 
trp_rising_sun_hirosaki_spearman_pl|弘 前 步 兵 
trp_rising_sun_hirosaki_skirmisher|弘 前 散 兵 
trp_rising_sun_hirosaki_skirmisher_pl|弘 前 散 兵 
trp_rising_sun_hirosaki_trained_spearman|熟 练 弘 前 步 兵 
trp_rising_sun_hirosaki_trained_spearman_pl|熟 练 弘 前 步 兵 
trp_rising_sun_hirosaki_trained_skirmisher|熟 练 弘 前 散 兵 
trp_rising_sun_hirosaki_trained_skirmisher_pl|熟 练 弘 前 散 兵 
trp_rising_sun_hirosaki_veteran_spearman|资 深 弘 前 步 兵 
trp_rising_sun_hirosaki_veteran_spearman_pl|资 深 弘 前 步 兵 
trp_rising_sun_hirosaki_veteran_skirmisher|资 深 弘 前 散 兵 
trp_rising_sun_hirosaki_veteran_skirmisher_pl|资 深 弘 前 散 兵 
trp_rising_sun_hirosaki_elite_spearman|精 锐 弘 前 步 兵 
trp_rising_sun_hirosaki_elite_spearman_pl|精 锐 弘 前 步 兵 
trp_gekokujo_asakura_villager|彦 根 新 兵 
trp_gekokujo_asakura_villager_pl|彦 根 新 兵 
trp_gekokujo_asakura_spearman|彦 根 步 兵 
trp_gekokujo_asakura_spearman_pl|彦 根 步 兵 
trp_gekokujo_asakura_skirmisher|彦 根 散 兵 
trp_gekokujo_asakura_skirmisher_pl|彦 根 散 兵 
trp_gekokujo_asakura_trained_spearman|熟 练 彦 根 步 兵 
trp_gekokujo_asakura_trained_spearman_pl|熟 练 彦 根 步 兵 
trp_gekokujo_asakura_trained_skirmisher|熟 练 彦 根 散 兵 
trp_gekokujo_asakura_trained_skirmisher_pl|熟 练 彦 根 散 兵 
trp_gekokujo_asakura_veteran_spearman|资 深 彦 根 步 兵 
trp_gekokujo_asakura_veteran_spearman_pl|资 深 彦 根 步 兵 
trp_gekokujo_asakura_veteran_skirmisher|资 深 彦 根 散 兵 
trp_gekokujo_asakura_veteran_skirmisher_pl|资 深 彦 根 散 兵 
trp_gekokujo_asakura_elite_spearman|精 锐 彦 根 步 兵 
trp_gekokujo_asakura_elite_spearman_pl|精 锐 彦 根 步 兵 
trp_gekokujo_chosokabe_villager|土 佐 新 兵 
trp_gekokujo_chosokabe_villager_pl|土 佐 新 兵 
trp_gekokujo_chosokabe_spearman|土 佐 步 兵 
trp_gekokujo_chosokabe_spearman_pl|土 佐 步 兵 团 
trp_gekokujo_chosokabe_skirmisher|土 佐 散 兵 
trp_gekokujo_chosokabe_skirmisher_pl|土 佐 散 兵 
trp_gekokujo_chosokabe_trained_spearman|熟 练 土 佐 步 兵 
trp_gekokujo_chosokabe_trained_spearman_pl|熟 练 土 佐 步 兵 
trp_gekokujo_chosokabe_trained_skirmisher|熟 练 土 佐 散 兵 
trp_gekokujo_chosokabe_trained_skirmisher_pl|熟 练 土 佐 散 兵 
trp_gekokujo_chosokabe_veteran_spearman|资 深 土 佐 步 兵 
trp_gekokujo_chosokabe_veteran_spearman_pl|资 深 土 佐 步 兵 
trp_gekokujo_chosokabe_veteran_skirmisher|资 深 土 佐 散 兵 
trp_gekokujo_chosokabe_veteran_skirmisher_pl|资 深 土 佐 散 兵 
trp_gekokujo_chosokabe_elite_skirmisher|精 锐 土 佐 散 兵 
trp_gekokujo_chosokabe_elite_skirmisher_pl|精 锐 土 佐 散 兵 
trp_gekokujo_hojo_villager|幕 府 新 兵 
trp_gekokujo_hojo_villager_pl|幕 府 新 兵 
trp_gekokujo_hojo_spearman|幕 府 步 兵 
trp_gekokujo_hojo_spearman_pl|幕 府 步 兵 
trp_gekokujo_hojo_skirmisher|幕 府 散 兵 
trp_gekokujo_hojo_skirmisher_pl|幕 府 散 兵 
trp_gekokujo_hojo_trained_spearman|熟 练 幕 府 步 兵 
trp_gekokujo_hojo_trained_spearman_pl|熟 练 幕 府 步 兵 
trp_gekokujo_hojo_trained_skirmisher|熟 练 幕 府 散 兵 
trp_gekokujo_hojo_trained_skirmisher_pl|熟 练 幕 府 散 兵 
trp_gekokujo_hojo_veteran_spearman|资 深 幕 府 步 兵 
trp_gekokujo_hojo_veteran_spearman_pl|资 深 幕 府 步 兵 
trp_gekokujo_hojo_veteran_skirmisher|资 深 幕 府 散 兵 
trp_gekokujo_hojo_veteran_skirmisher_pl|资 深 幕 府 散 兵 
trp_gekokujo_hojo_elite_spearman|精 锐 幕 府 步 兵 
trp_gekokujo_hojo_elite_spearman_pl|精 锐 幕 府 步 兵 
trp_rising_sun_kubota_villager|久 保 田 新 兵 
trp_rising_sun_kubota_villager_pl|久 保 田 新 兵 
trp_rising_sun_kubota_spearman|久 保 田 步 兵 
trp_rising_sun_kubota_spearman_pl|久 保 田 步 兵 
trp_rising_sun_kubota_skirmisher|Kubota散 兵 
trp_rising_sun_kubota_skirmisher_pl|久 保 田 散 兵 
trp_rising_sun_kubota_trained_spearman|熟 练 久 保 田 步 兵 
trp_rising_sun_kubota_trained_spearman_pl|熟 练 久 保 田 步 兵 
trp_rising_sun_kubota_trained_skirmisher|熟 练 久 保 田 散 兵 
trp_rising_sun_kubota_trained_skirmisher_pl|熟 练 久 保 田 散 兵 
trp_rising_sun_kubota_veteran_spearman|资 深 久 保 田 步 兵 
trp_rising_sun_kubota_veteran_spearman_pl|资 深 久 保 田 步 兵 
trp_rising_sun_kubota_veteran_skirmisher|资 深 久 保 田 散 兵 
trp_rising_sun_kubota_veteran_skirmisher_pl|资 深 久 保 田 散 兵 
trp_rising_sun_kubota_elite_spearman|精 锐 久 保 田 步 兵 
trp_rising_sun_kubota_elite_spearman_pl|精 锐 久 保 田 步 兵 
trp_gekokujo_shimazu_villager|萨 摩 新 兵 
trp_gekokujo_shimazu_villager_pl|萨 摩 新 兵 
trp_gekokujo_shimazu_spearman|萨 摩 步 兵 
trp_gekokujo_shimazu_spearman_pl|萨 摩 步 兵 
trp_gekokujo_shimazu_skirmisher|萨 摩 散 兵 
trp_gekokujo_shimazu_skirmisher_pl|萨 摩 散 兵 
trp_gekokujo_shimazu_trained_spearman|熟 练 萨 摩 步 兵 
trp_gekokujo_shimazu_trained_spearman_pl|熟 练 萨 摩 步 兵 
trp_gekokujo_shimazu_trained_skirmisher|熟 练 萨 摩 散 兵 
trp_gekokujo_shimazu_trained_skirmisher_pl|熟 练 萨 摩 散 兵 
trp_gekokujo_shimazu_veteran_spearman|资 深 萨 摩 步 兵 
trp_gekokujo_shimazu_veteran_spearman_pl|资 深 萨 摩 步 兵 
trp_gekokujo_shimazu_veteran_skirmisher|资 深 萨 摩 散 兵 
trp_gekokujo_shimazu_veteran_skirmisher_pl|资 深 萨 摩 散 兵 
trp_gekokujo_shimazu_elite_spearman|精 锐 萨 摩 步 兵 
trp_gekokujo_shimazu_elite_spearman_pl|精 锐 萨 摩 步 兵 
trp_gekokujo_ryuzoji_villager|佐 贺 新 兵 
trp_gekokujo_ryuzoji_villager_pl|佐 贺 新 兵 
trp_gekokujo_ryuzoji_spearman|佐 贺 步 兵 
trp_gekokujo_ryuzoji_spearman_pl|佐 贺 步 兵 
trp_gekokujo_ryuzoji_skirmisher|佐 贺 散 兵 
trp_gekokujo_ryuzoji_skirmisher_pl|佐 贺 散 兵 
trp_gekokujo_ryuzoji_trained_spearman|熟 练 佐 贺 步 兵 
trp_gekokujo_ryuzoji_trained_spearman_pl|熟 练 佐 贺 步 兵 
trp_gekokujo_ryuzoji_trained_skirmisher|熟 练 佐 贺 散 兵 
trp_gekokujo_ryuzoji_trained_skirmisher_pl|熟 练 佐 贺 散 兵 
trp_gekokujo_ryuzoji_veteran_spearman|资 深 佐 贺 步 兵 
trp_gekokujo_ryuzoji_veteran_spearman_pl|资 深 佐 贺 步 兵 
trp_gekokujo_ryuzoji_veteran_skirmisher|资 深 佐 贺 散 兵 
trp_gekokujo_ryuzoji_veteran_skirmisher_pl|资 深 佐 贺 散 兵 
trp_gekokujo_ryuzoji_elite_skirmisher|精 锐 佐 贺 散 兵 
trp_gekokujo_ryuzoji_elite_skirmisher_pl|精 锐 佐 贺 散 兵 
trp_rising_sun_mito_villager|水 户 新 兵 
trp_rising_sun_mito_villager_pl|水 户 新 兵 
trp_rising_sun_mito_spearman|水 户 步 兵 
trp_rising_sun_mito_spearman_pl|水 户 步 兵 
trp_rising_sun_mito_skirmisher|水 户 散 兵 
trp_rising_sun_mito_skirmisher_pl|水 户 散 兵 
trp_rising_sun_mito_trained_spearman|熟 练 水 户 步 兵 
trp_rising_sun_mito_trained_spearman_pl|熟 练 水 户 步 兵 
trp_rising_sun_mito_trained_skirmisher|熟 练 水 户 散 兵 
trp_rising_sun_mito_trained_skirmisher_pl|熟 练 水 户 散 兵 
trp_rising_sun_mito_veteran_spearman|资 深 水 户 步 兵 
trp_rising_sun_mito_veteran_spearman_pl|资 深 水 户 步 兵 
trp_rising_sun_mito_veteran_skirmisher|资 深 水 户 散 兵 
trp_rising_sun_mito_veteran_skirmisher_pl|资 深 水 户 散 兵 
trp_rising_sun_mito_elite_skirmisher|精 锐 水 户 散 兵 
trp_rising_sun_mito_elite_skirmisher_pl|精 锐 水 户 散 兵 
trp_gekokujo_satomi_villager|房 总 新 兵 
trp_gekokujo_satomi_villager_pl|房 总 新 兵 
trp_gekokujo_satomi_spearman|房 总 步 兵 
trp_gekokujo_satomi_spearman_pl|房 总 步 兵 
trp_gekokujo_satomi_skirmisher|房 总 散 兵 
trp_gekokujo_satomi_skirmisher_pl|房 总 散 兵 
trp_gekokujo_satomi_trained_spearman|熟 练 房 总 步 兵 
trp_gekokujo_satomi_trained_spearman_pl|熟 练 房 总 步 兵 
trp_gekokujo_satomi_trained_skirmisher|熟 练 房 总 散 兵 
trp_gekokujo_satomi_trained_skirmisher_pl|熟 练 房 总 散 兵 
trp_gekokujo_satomi_veteran_spearman|资 深 房 总 步 兵 
trp_gekokujo_satomi_veteran_spearman_pl|资 深 房 总 步 兵 
trp_gekokujo_satomi_veteran_skirmisher|资 深 房 总 散 兵 
trp_gekokujo_satomi_veteran_skirmisher_pl|资 深 房 总 散 兵 
trp_gekokujo_satomi_elite_skirmisher|精 锐 房 总 散 兵 
trp_gekokujo_satomi_elite_skirmisher_pl|精 锐 房 总 散 兵 
trp_gekokujo_ukita_villager|酒 井 新 兵 
trp_gekokujo_ukita_villager_pl|酒 井 新 兵 
trp_gekokujo_ukita_spearman|酒 井 步 兵 
trp_gekokujo_ukita_spearman_pl|酒 井 步 兵 
trp_gekokujo_ukita_skirmisher|酒 井 散 兵 
trp_gekokujo_ukita_skirmisher_pl|酒 井 散 兵 
trp_gekokujo_ukita_trained_spearman|熟 练 酒 井 步 兵 
trp_gekokujo_ukita_trained_spearman_pl|熟 练 酒 井 步 兵 
trp_gekokujo_ukita_trained_skirmisher|熟 练 酒 井 散 兵 
trp_gekokujo_ukita_trained_skirmisher_pl|熟 练 酒 井 散 兵 
trp_gekokujo_ukita_veteran_spearman|资 深 酒 井 步 兵 
trp_gekokujo_ukita_veteran_spearman_pl|资 深 酒 井 步 兵 
trp_gekokujo_ukita_veteran_skirmisher|资 深 酒 井 散 兵 
trp_gekokujo_ukita_veteran_skirmisher_pl|资 深 酒 井 散 兵 
trp_gekokujo_ukita_elite_spearman|精 锐 酒 井 步 兵 
trp_gekokujo_ukita_elite_spearman_pl|精 锐 酒 井 步 兵 
trp_gekokujo_ikko_villager|加 贺 新 兵 
trp_gekokujo_ikko_villager_pl|加 贺 新 兵 
trp_gekokujo_ikko_spearman|加 贺 步 兵 
trp_gekokujo_ikko_spearman_pl|加 贺 步 兵 
trp_gekokujo_ikko_skirmisher|加 贺 散 兵 
trp_gekokujo_ikko_skirmisher_pl|加 贺 散 兵 
trp_gekokujo_ikko_trained_spearman|熟 练 加 贺 步 兵 
trp_gekokujo_ikko_trained_spearman_pl|熟 练 加 贺 步 兵 
trp_gekokujo_ikko_trained_skirmisher|熟 练 加 贺 散 兵 
trp_gekokujo_ikko_trained_skirmisher_pl|熟 练 加 贺 散 兵 
trp_gekokujo_ikko_veteran_spearman|资 深 加 贺 步 兵 
trp_gekokujo_ikko_veteran_spearman_pl|资 深 加 贺 步 兵 
trp_gekokujo_ikko_veteran_skirmisher|资 深 加 贺 散 兵 
trp_gekokujo_ikko_veteran_skirmisher_pl|资 深 加 贺 散 兵 
trp_gekokujo_ito_villager|延 冈 新 兵 
trp_gekokujo_ito_villager_pl|延 冈 新 兵 
trp_gekokujo_ito_spearman|延 冈 步 兵 
trp_gekokujo_ito_spearman_pl|延 冈 步 兵 
trp_gekokujo_ito_skirmisher|延 冈 散 兵 
trp_gekokujo_ito_skirmisher_pl|延 冈 散 兵 
trp_gekokujo_ito_trained_spearman|熟 练 延 冈 步 兵 
trp_gekokujo_ito_trained_spearman_pl|熟 练 延 冈 步 兵 
trp_gekokujo_ito_trained_skirmisher|熟 练 Nobeoka散 兵 
trp_gekokujo_ito_trained_skirmisher_pl|熟 练 延 冈 散 兵 
trp_gekokujo_ito_veteran_spearman|资 深 延 冈 步 兵 
trp_gekokujo_ito_veteran_spearman_pl|资 深 延 冈 步 兵 
trp_gekokujo_ito_veteran_skirmisher|资 深 延 冈 散 兵 
trp_gekokujo_ito_veteran_skirmisher_pl|资 深 延 冈 散 兵 
trp_gekokujo_ito_elite_skirmisher|精 锐 延 冈 散 兵 
trp_gekokujo_ito_elite_skirmisher_pl|精 锐 延 冈 散 兵 
trp_gekokujo_ashikaga_villager|新 政 府 军 新 兵 
trp_gekokujo_ashikaga_villager_pl|新 政 府 军 新 兵 
trp_gekokujo_ashikaga_spearman|萨 摩 步 兵 
trp_gekokujo_ashikaga_spearman_pl|萨 摩 步 兵 
trp_gekokujo_ashikaga_skirmisher|土 佐 散 兵 
trp_gekokujo_ashikaga_skirmisher_pl|土 佐 散 兵 
trp_gekokujo_ashikaga_trained_spearman|熟 练 萨 摩 步 兵 
trp_gekokujo_ashikaga_trained_spearman_pl|熟 练 萨 摩 步 兵 
trp_gekokujo_ashikaga_trained_skirmisher|熟 练 土 佐 散 兵 
trp_gekokujo_ashikaga_trained_skirmisher_pl|熟 练 土 佐 散 兵 
trp_gekokujo_ashikaga_veteran_spearman|资 深 萨 摩 步 兵 
trp_gekokujo_ashikaga_veteran_spearman_pl|资 深 萨 摩 步 兵 
trp_gekokujo_ashikaga_veteran_skirmisher|资 深 土 佐 散 兵 
trp_gekokujo_ashikaga_veteran_skirmisher_pl|资 深 土 佐 散 兵 
trp_gekokujo_ashikaga_elite_spearman|精 锐 萨 摩 步 兵 
trp_gekokujo_ashikaga_elite_spearman_pl|精 锐 萨 摩 步 兵 
trp_gekokujo_nanbu_villager|南 部 新 兵 
trp_gekokujo_nanbu_villager_pl|南 部 新 兵 
trp_gekokujo_nanbu_spearman|陆 奥 步 兵 
trp_gekokujo_nanbu_spearman_pl|陆 奥 步 兵 
trp_gekokujo_nanbu_skirmisher|陆 奥 散 兵 
