ip_dplmc_info|外 交 模 式 
ip_politics_text|日 本 各 地 文 化 相 近 ， 因 此 都 奉 行 相 同 的 基 本 政 治 制 度 ， 封 建 制 。 封 建 制 基 于 个 人 之 间 的 关 系 ， 封 臣 对 于 他 或 她 君 主 的 宣 誓 效 忠 。 对 于 这 种 宣 誓 的 回 报 ， 封 臣 通 常 会 收 到 一 份 封 地 ， 这 套 土 地 之 上 的 收 入 归 封 臣 所 有 建 立 军 队 来 为 君 主 在 战 时 提 供 支 持 。 一 个 君 主 同 样 有 责 任 保 护 他 的 封 臣 们 ， 并 且 公 平 地 宴 请 他 们 。 ^^ 无 论 如 何 ， 理 论 上 应 该 是 这 么 运 作 的 。 实 际 上 ， 封 臣 们 并 不 总 是 为 了 他 们 阵 营 的 利 益 而 努 力 ， 特 别 的 是 他 们 还 经 常 相 互 争 吵 。 贵 族 们 有 不 同 的 个 性 ， 并 且 有 时 候 这 些 个 性 相 冲 。 或 者 ， 也 许 两 个 贵 族 是 亲 密 的 朋 友 ， 但 是 因 为 一 次 退 却 或 者 战 败 的 结 果 而 翻 脸 ， 或 者 因 为 他 们 在 追 求 同 一 位 小 姐 。 他 们 在 国 王 面 前 争 宠 的 时 候 同 样 也 会 表 现 出 嫉 妒 ， 也 许 是 为 了 争 夺 新 征 服 的 土 地 ， 或 者 是 争 夺 谁 会 被 任 命 为 令 人 垂 涎 的 元 帅 之 职 位 ， 成 为 负 责 组 织 一 次 大 规 模 战 役 的 统 领 。 ^^ 当 日 本 的 某 个 国 家 和 别 国 开 战 ， 各 个 王 国 内 部 在 政 治 上 是 否 团 结 ， 严 重 影 响 到 其 能 够 决 定 战 争 结 果 的 士 兵 的 质 量 和 数 量 。 在 一 个 团 结 的 王 国 ， 贵 族 们 会 联 合 在 一 起 成 为 一 股 强 大 的 力 量 扫 除 他 们 面 前 的 对 手 。 在 一 个 因 为 喋 喋 不 休 的 争 论 而 四 分 五 裂 的 王 国 里 ， 领 主 们 将 不 听 从 元 帅 的 召 集 ， 或 者 在 一 场 战 役 如 果 进 行 的 并 不 顺 利 的 时 候 四 散 而 去 忙 他 们 自 己 的 事 情 。 一 个 阵 营 政 治 上 的 凝 聚 力 还 会 在 战 役 没 有 进 行 的 情 况 下 导 致 军 事 冲 突 。 在 一 个 分 裂 的 阵 营 ， 领 主 们 在 出 击 和 巡 逻 的 时 候 不 大 愿 意 联 合 行 动 ， 还 有 共 同 防 御 。 ^^ 如 果 发 现 领 主 们 在 敌 人 出 现 在 地 平 线 上 的 时 候 因 为 斗 嘴 和 争 论 而 要 弄 巧 成 拙 ， 记 住 ， 从 根 本 上 讲 ， 一 名 贵 族 的 忠 诚 不 是 对 于 特 定 的 阵 营 或 者 文 化 ， 而 是 对 于 他 自 己 以 及 他 的 家 族 。 如 果 一 个 贵 族 担 心 他 的 阵 营 崩 溃 ， 或 者 是 他 正 在 被 他 的 君 主 忽 视 ， 他 通 常 会 找 个 理 由 撤 销 他 效 忠 的 宣 誓 ， 然 后 投 奔 别 处 。 玩 家 门 要 记 住 这 一 点 ， 因 为 他 们 会 发 现 有 机 会 让 心 中 不 满 的 前 敌 人 转 变 成 盟 友 。 
ip_character_backgrounds|角 色 背 景 
ip_character_backgrounds_text|进 入 日 本 的 玩 家 可 以 选 择 来 自 不 同 的 社 会 背 景 。 这 个 选 择 不 仅 仅 会 影 响 到 他 或 她 的 起 始 技 能 和 装 备 ， 还 会 影 响 到 他 或 者 她 的 冒 险 生 涯 。 ^^ 日 本 的 战 事 和 政 治 传 统 性 地 归 男 性 贵 族 所 支 配 。 一 名 男 性 贵 族 玩 家 角 色 会 发 现 他 很 快 就 在 这 个 “ 大 男 子 ” 俱 乐 部 里 如 鱼 得 水 ， 而 女 性 和 平 民 身 份 则 会 在 奋 斗 之 路 上 遇 到 额 外 的 障 碍 。 如 果 你 选 择 作 为 一 名 男 性 贵 族 来 开 始 开 始 游 戏 ， 你 可 以 看 作 是 以 “ 简 单 ” 难 度 来 开 始 游 戏 。 以 女 性 贵 族 或 者 男 性 平 民 开 始 则 要 难 度 高 一 点 ， 而 以 女 性 平 民 开 局 则 可 能 是 以 最 具 挑 战 的 方 式 开 始 游 戏 。 ^^ 尽 管 这 样 ， 女 性 也 有 开 局 的 优 势 。 很 明 显 的 就 是 招 兵 ， 一 名 女 性 勇 士 自 身 很 能 引 人 注 意 ， 这 样 她 能 够 比 男 性 更 快 地 树 立 自 己 的 名 声 。 同 样 地 ， 按 照 惯 例 女 的 也 比 男 的 要 更 容 易 通 过 婚 姻 通 往 社 会 高 层 ， 并 且 女 的 可 以 通 过 战 略 婚 姻 联 盟 比 她 的 男 性 配 偶 获 得 的 更 多 。 ^^ 最 后 ， 记 住 这 游 戏 里 ， 英 雄 不 问 出 处 ， 王 侯 将 相 ， 宁 有 种 乎 。 不 论 贵 族 还 是 平 民 ， 男 性 还 是 女 性 ， 结 婚 还 是 单 身 ， 任 何 人 都 有 可 能 成 为 全 日 本 的 统 治 者 ， 如 果 他 们 足 够 勇 敢 ， 幸 运 或 者 智 慧 的 话 。 
ip_military_campaigns|军 事 战 争 
ip_military_campaigns_text|当 日 本 诸 大 名 开 始 战 事 ， 他 们 的 军 队 有 两 种 基 本 的 进 攻 方 式 。 他 们 会 试 图 进 攻 村 庄 并 摧 毁 它 ， 破 坏 敌 人 的 声 望 和 经 济 。 或 者 ， 他 们 可 以 试 图 夺 取 并 占 据 城 堡 或 者 城 镇 ， 扩 张 领 土 。 这 第 二 种 方 式 包 括 长 期 ， 血 腥 的 围 攻 ， 但 是 能 产 生 更 有 决 定 性 的 成 果 。 ^^ 得 记 住 很 重 要 的 一 点 在 日 本 的 国 家 里 没 有 按 照 统 治 者 要 求 常 驻 各 处 的 常 备 军 。 相 对 的 ， 日 本 的 各 国 家 由 权 臣 贵 族 及 其 各 自 从 属 所 招 募 的 封 建 佣 兵 所 保 护 。 有 时 候 ， 这 些 贵 族 私 自 发 动 对 敌 人 领 土 的 进 攻 ， 但 决 定 性 的 攻 击 总 是 发 生 在 大 规 模 军 团 被 召 集 的 时 候 。 各 个 王 国 的 元 帅 ， 一 名 由 国 王 指 派 的 贵 族 ， 会 在 战 役 开 始 前 召 集 军 团 并 率 领 他 们 投 入 战 斗 。 然 而 ， 他 也 需 要 注 意 别 让 他 们 过 于 恋 战 。 否 则 ， 军 团 就 会 开 始 瓦 解 ， 因 为 那 些 领 主 会 各 自 离 开 去 忙 他 们 自 己 的 事 情 ， 而 大 军 就 会 变 得 容 易 遭 受 对 方 的 反 击 。 ^^ 因 此 ， 在 日 本 ， 战 争 的 节 奏 通 常 就 像 是 两 个 单 独 的 战 斗 者 之 间 的 决 斗 一 样 。 一 方 会 纠 集 自 己 的 力 量 寻 求 对 敌 方 领 土 的 一 次 猛 攻 。 如 果 元 帅 仓 促 间 集 结 领 主 们 的 时 间 过 短 ， 他 就 不 能 实 施 任 何 有 效 的 攻 击 。 如 果 他 花 的 时 间 过 长 ， 那 战 役 也 许 会 在 还 没 开 始 之 前 就 结 束 。 大 国 对 小 国 拥 有 优 势 ， 就 像 一 名 强 壮 的 战 士 比 弱 小 的 对 手 要 厉 害 ， 但 是 一 个 国 家 政 治 上 的 凝 聚 力 也 不 能 忽 视 ， 就 像 一 个 耐 力 过 人 的 斗 士 会 比 她 的 对 手 活 得 更 久 。 有 时 候 ， 两 个 国 家 的 军 队 会 迎 头 碰 上 ， 军 队 的 士 气 和 数 量 将 决 定 这 场 大 决 战 的 结 果 。 ^^ 王 国 们 对 于 其 敌 人 总 是 缺 乏 情 报 。 进 攻 方 的 领 主 需 要 频 繁 地 侦 查 敌 人 的 领 土 来 决 定 哪 个 要 塞 也 许 易 于 攻 击 。 守 卫 本 土 的 军 队 会 有 从 城 堡 和 城 镇 得 到 警 报 的 优 势 ， 它 们 会 传 播 敌 人 在 其 附 近 行 动 的 情 报 。 然 而 ， 这 些 情 报 并 不 精 确 ， 特 别 是 对 于 敌 军 的 数 量 方 面 。 解 围 或 者 援 救 村 庄 的 防 守 方 也 许 能 击 败 一 支 没 有 准 备 的 进 攻 部 队 ， 或 者 失 算 ， 成 为 被 打 败 的 一 方 。 而 对 于 进 攻 方 ， 必 须 要 小 心 他 们 深 入 敌 后 有 多 远 ， 而 好 战 的 元 帅 要 比 谨 慎 的 元 帅 更 冒 险 。 ^^ 玩 家 会 期 望 加 入 其 阵 营 的 军 事 战 役 ， 比 如 加 入 军 团 ， 或 者 打 头 阵 去 敌 人 领 土 侦 查 。 某 些 玩 家 也 许 会 发 现 他 们 国 家 的 元 帅 个 人 风 格 太 谨 慎 了 ， 或 者 太 好 战 了 。 这 种 情 况 下 ， 他 们 可 以 串 通 其 他 领 主 来 试 图 更 换 元 帅 ， 或 者 寻 求 支 持 来 自 己 当 上 元 帅 。 ^^ 大 部 分 战 争 持 续 有 限 的 一 段 时 间 。 一 名 想 要 开 战 的 国 王 ， 为 了 荣 耀 ， 觉 得 有 义 务 短 时 间 里 解 决 冲 突 。 然 而 ， 除 非 他 狠 揍 了 敌 人 一 顿 。 他 也 许 很 快 开 始 寻 求 平 息 冲 突 的 途 径 ， 以 免 自 己 暴 露 在 第 三 方 部 队 的 攻 击 威 胁 之 下 。 日 本 的 统 治 者 们 都 清 楚 地 明 白 今 天 的 盟 友 也 许 明 天 就 会 成 为 敌 人 ， 反 之 亦 然 。 
ip_ruler_of_a_clan|从 大 名 开 始 
ip_ruler_of_a_clan_text|当 作 为 一 个 家 族 的 统 治 者 开 始 游 戏 时 。 你 会 被 分 配 几 名 领 主 。 此 外 ， 你 统 治 下 的 村 庄 不 会 被 任 何 人 统 治 ， 所 以 不 要 忘 记 把 它 们 分 配 给 领 主 。 请 记 住 ， 给 一 个 领 主 太 多 的 村 庄 会 激 怒 其 他 的 领 主 。 与 贵 族 们 的 不 良 关 系 可 能 会 使 他 们 造 反 。 
ip_executing_lords|处 死 敌 人 的 领 主 
ip_executing_lords_text|如 果 你 愿 意 ， 你 可 以 杀 死 被 俘 的 领 主 。 然 而 ， 你 需 要 有 自 己 的 家 族 才 能 这 样 做 。 杀 死 敌 人 将 会 有 一 些 永 久 的 效 果 。 杀 死 的 领 主 不 会 被 随 机 生 成 的 领 主 所 取 代 。 他 们 的 土 地 不 会 由 任 何 人 统 治 ， 直 到 大 名 - 决 定 把 这 些 土 地 交 给 家 族 的 另 一 个 领 主 。 被 杀 领 主 的 敌 人 ( 领 主 和 女 士 )会 更 喜 欢 你 。 然 而 ， 被 杀 的 领 主 的 中 立 的 领 主 和 友 好 的 领 主 会 因 为 你 的 行 为 而 恨 你 。 杀 死 太 多 领 主 可 能 会 把 被 杀 的 领 主 的 朋 友 们 团 结 在 一 起 ！ 如 果 你 杀 了 一 位 大 名 ， 之 后 另 一 位 名 声 最 高 的 领 主 被 任 命 为 大 名 。 
ip_special_keys|嘲 讽 
ip_special_keys_text|你 可 以 通 过 按 ' N' 键 来 嘲 讽 你 的 敌 人 。 嘲 弄 取 决 于 你 的 铁 血 技 能 。 不 要 指 望 敌 人 在 你 嘲 讽 他 们 之 后 汹 涌 澎 湃 ， 他 们 有 可 能 不 会 攻 击 你 。 然 而 他 们 的 射 手 单 位 会 集 火 你 。 
ip_special_keys2|特 殊 按 键 
ip_special_keys2_text|您 可 以 通 过 按 “T” 键 启 用 头 盔 视 角 。 你 可 以 按 ' V' 键 ， 在 主 厅 里 坐 下 。 
ip_history_note1|戊 辰 战 争 
ip_history_note1_text|戊 辰 战 争 ， 有 时 也 被 称 为 日 本 革 命 或 日 本 内 战 ， 是 一 场 于 1868年 至 1869年 间 在 日 本 爆 发 的 内 战 ， 交 战 双 方 是 统 治 日 本 的 德 川 幕 府 势 力 与 一 个 以 朝 廷 名 义 谋 求 夺 取 政 治 权 力 的 联 盟 。 ^^这 场 战 争 源 于 许 多 贵 族 和 年 轻 武 士 对 幕 府 在 之 前 十 年 日 本 开 国 后 处 理 外 国 人 问 题 的 方 式 感 到 不 满 。 西 方 在 经 济 上 的 影 响 力 日 益 增 强 ， 导 致 了 与 其 他 亚 洲 国 家 当 时 类 似 的 衰 退 。 一 个 由 西 部 武 士 ， 特 别 是 长 州 、 萨 摩 和 土 佐 等 藩 ， 以 及 朝 廷 官 员 组 成 的 联 盟 掌 控 了 朝 廷 ， 并 影 响 了 年 轻 的 明 治 天 皇 。 时 任 将 军 德 川 庆 喜 意 识 到 自 己 处 境 无 望 ， 便 宣 布 退 位 并 将 政 治 权 力 交 还 给 天 皇 。 庆 喜 希 望 借 此 使 德 川 家 族 得 以 保 留 ， 并 能 参 与 未 来 的 政 府 。 ^^然 而 ， 朝 廷 军 队 的 军 事 行 动 、 江 户 的 党 派 暴 力 ， 以 及 由 萨 摩 和 长 州 推 动 的 废 除 德 川 家 族 的 朝 廷 敕 令 ， 致 使 庆 喜 发 动 军 事 行 动 ， 企 图 夺 取 天 皇 所 在 的 京 都 朝 廷 。 战 局 迅 速 转 向 规 模 较 小 但 相 对 现 代 化 的 朝 廷 派 一 方 。 在 一 系 列 战 斗 之 后 ， 以 江 户 开 城 投 降 告 终 ， 庆 喜 本 人 也 投 降 了 。 效 忠 德 川 幕 府 的 势 力 退 往 本 州 北 部 ， 后 又 退 往 北 海 道 ， 在 那 里 建 立 了 虾 夷 共 和 国 。 箱 馆 战 争 的 战 败 击 碎 了 这 最 后 的 据 点 ， 使 天 皇 成 为 全 日 本 事 实 上 的 最 高 统 治 者 ， 完 成 了 明 治 维 新 的 军 事 阶 段 。 ^^战 争 中 约 有 69,000人 被 动 员 ， 其 中 约 8,200人 阵 亡 。 最 终 ， 获 胜 的 朝 廷 派 放 弃 了 驱 逐 外 国 人 的 目 标 ， 转 而 采 取 持 续 近 代 化 的 政 策 ， 以 期 最 终 重 新 谈 判 与 西 方 列 强 签 订 的 不 平 等 条 约 。 由 于 朝 廷 派 重 要 领 袖 西 乡 隆 盛 的 坚 持 ， 德 川 氏 的 忠 诚 者 得 到 了 宽 大 处 理 ， 许 多 前 幕 府 领 导 人 和 武 士 后 来 在 新 政 府 中 获 得 了 职 位 。 ^^戊 辰 战 争 开 始 时 ， 日 本 已 经 开 始 近 代 化 ， 走 与 工 业 化 西 方 国 家 相 同 的 进 步 道 路 。 由 于 西 方 国 家 ， 尤 其 是 英 国 和 法 国 ， 深 深 卷 入 了 该 国 的 政 治 ， 朝 廷 权 力 的 建 立 给 冲 突 增 添 了 更 多 动 荡 。 随 着 时 间 的 推 移 ， 这 场 战 争 被 浪 漫 化 为 一 场 " 不 流 血 的 革 命 " ， 因 为 与 日 本 人 口 规 模 相 比 ， 伤 亡 人 数 较 少 。 然 而 ， 朝 廷 派 内 部 的 西 部 武 士 和 近 代 化 派 之 间 很 快 就 出 现 了 冲 突 ， 导 致 了 九 年 后 更 为 血 腥 的 西 南 战 争 。 ^^
ip_history_note2|尊 王 攘 夷 
