p_zendar|禅 达 
p_castle_75|箱 馆 五 稜 郭 
p_castle_76|佐 伯 城 
p_castle_77|臼 杵 城 
p_castle_78|冈 城 
p_castle_79|龟 山 城 
p_castle_80|岸 和 田 城 
p_castle_81|吉 田 城 
p_castle_82|田 中 城 
p_castle_83|福 冈 城 
p_castle_84|苗 木 城 
p_castle_85|大 垣 城 
p_castle_86|挙 母 城 
p_castle_87|三 草 阵 屋 
p_castle_88|明 石 城 
p_village_1|足 柄 上 郡 
p_village_2|葛 西 
p_village_3|多 摩 郡 
p_village_4|镰 仓 郡 
p_village_5|三 浦 郡 
p_village_6|那 珂 郡 
p_village_7|新 治 郡 
p_village_8|香 取 郡 高 冈 
p_village_9|香 取 郡 多 古 
p_village_10|埼 玉 郡 
p_village_11|河 内 郡 
p_village_12|群 马 郡 
p_village_13|葛 饰 郡 
p_village_14|天 羽 郡 
p_village_15|乙 训 郡 
p_village_16|爱 宕 郡 
p_village_17|葛 野 郡 
p_village_18|南 郡 
p_village_19|大 鸟 郡 
p_village_20|丰 岛 郡 
p_village_21|日 根 郡 
p_village_22|一 志 郡 
p_village_23|答 志 郡 
p_village_24|饰 东 郡 
p_village_25|加 西 郡 
p_village_26|津 名 郡 
p_village_27|远 敷 郡 
p_village_28|犬 上 郡 
p_village_29|牟 娄 郡 
p_village_30|伊 香 郡 
p_village_31|多 纪 郡 
p_village_32|铃 鹿 郡 
p_village_33|能 美 郡 
p_village_34|江 沼 郡 
p_village_35|河 北 郡 
p_village_36|石 川 郡 
p_village_37|桑 名 郡 长 岛 
p_village_38|爱 知 郡 
p_village_39|海 西 郡 
p_village_40|鱼 沼 郡 
p_village_41|古 志 郡 长 冈 
p_village_42|蒲 原 郡 
p_village_43|巨 摩 郡 
p_village_44|八 代 郡 
p_village_45|刈 羽 郡 
p_village_46|颈 城 郡 妙 高 山 
p_village_47|渥 美 郡 
p_village_48|射 水 郡 
p_village_49|水 内 郡 
p_village_50|坂 井 郡 
p_village_51|惠 那 郡 
p_village_52|岩 船 郡 
p_village_53|小 县 郡 
p_village_54|城 东 郡 
p_village_55|诹 访 郡 
p_village_56|席 田 郡 
p_village_57|佐 伯 郡 
p_village_58|山 县 郡 
p_village_59|贺 茂 郡 
p_village_60|儿 岛 郡 
p_village_61|和 气 郡 
p_village_62|浅 口 郡 
p_village_63|能 义 郡 
p_village_64|骏 东 郡 
p_village_65|那 贺 郡 
p_village_66|阿 武 郡 
p_village_67|御 调 郡 
p_village_68|东 南 条 郡 
p_village_69|丰 浦 郡 
p_village_70|标 叶 郡 
p_village_71|桃 生 郡 
p_village_72|志 田 郡 
p_village_73|信 夫 郡 
p_village_74|置 赐 郡 小 国 
p_village_75|置 赐 郡 赤 汤 
p_village_76|都 留 郡 
p_village_77|秋 田 郡 
p_village_78|山 本 郡 
p_village_79|津 轻 郡 黑 石 
p_village_80|津 轻 郡 五 所 川 原 
p_village_81|三 戸 郡 
p_village_82|岩 手 郡 
p_village_83|磐 井 郡 
p_village_84|村 山 郡 
p_village_85|白 河 郡 
p_village_86|田 川 郡 
p_village_87|磐 前 郡 
p_village_88|平 鹿 郡 
p_village_89|粕 屋 郡 
p_village_90|志 摩 郡 
p_village_91|御 笠 郡 
p_village_92|揖 宿 郡 
p_village_93|姶 良 郡 
p_village_94|肝 属 郡 
p_village_95|彼 杵 郡 
p_village_96|高 来 郡 
p_village_97|松 浦 郡 
p_village_98|企 救 郡 
p_village_99|儿 汤 郡 
p_village_100|宫 崎 郡 
p_village_101|阿 苏 郡 
p_village_102|八 代 郡 
p_village_103|山 门 郡 
p_village_104|新 居 郡 
p_village_105|伊 予 郡 
p_village_106|浮 穴 郡 
p_village_107|宇 和 郡 
p_village_108|幡 多 郡 
p_village_109|那 贺 郡 
p_village_110|香 川 郡 
p_village_111|足 立 郡 
p_village_112|比 企 郡 
p_village_113|添 下 郡 
p_village_114|葛 上 郡 
p_village_115|宇 智 郡 
p_village_116|敷 知 郡 
p_village_117|浜 名 郡 
p_village_118|鹿 玉 郡 
p_village_119|坂 田 郡 
p_village_120|海 东 郡 
p_village_121|吉 敷 郡 
p_village_122|佐 波 郡 
p_village_123|都 浓 郡 
p_village_124|岛 根 郡 
p_village_125|会 见 郡 
p_village_126|出 云 郡 
p_village_127|海 部 郡 北 
p_village_128|大 分 郡 
p_village_129|海 部 郡 臼 杵 
p_village_130|玉 名 郡 
p_village_131|下 益 城 郡 
p_village_132|菊 池 郡 
p_village_133|土 佐 郡 
p_village_134|香 美 郡 
p_village_135|高 冈 郡 
p_village_136|入 间 郡 
p_village_137|千 叶 郡 
p_village_138|明 石 郡 
p_village_139|天 田 郡 
p_village_140|安 倍 郡 
p_village_141|额 田 郡 
p_village_142|设 乐 郡 
p_village_143|土 岐 郡 
p_village_144|伊 那 郡 
p_village_145|足 柄 峠 
p_village_146|颈 城 郡 糸 鱼 川 
p_village_147|哲 多 郡 
p_village_148|沼 隅 郡 
p_village_149|置 赐 郡 米 泽 
p_village_150|多 贺 郡 
p_village_151|佐 贺 郡 
p_village_152|人 吉 郡 
p_village_153|国 东 郡 
p_village_154|安 芸 郡 
p_village_155|多 度 郡 
p_village_156|二 方 郡 
p_village_157|久 米 郡 
p_village_158|筑 摩 郡 
p_village_159|植 科 郡 
p_village_160|美 马 郡 
p_village_161|桑 名 郡 
p_village_162|上 矶 町 
p_village_163|西 成 郡 
p_village_164|龟 田 郡 
p_village_165|海 部 郡 佐 伯 
p_village_166|海 部 郡 大 分 
p_village_167|大 野 郡 
p_village_168|臼 杵 郡 东 
p_village_169|直 入 郡 
p_village_170|臼 杵 郡 西 
p_village_171|桑 田 郡 
p_village_172|锦 部 郡 
p_village_173|八 名 郡 
p_village_174|榛 原 郡 
p_village_175|周 智 郡 
p_village_176|佐 野 郡 
p_village_177|志 太 郡 
p_village_178|鞍 手 郡 
p_village_179|山 县 郡 
p_village_180|各 务 郡 
p_village_181|厚 见 郡 
p_village_182|筑 摩 郡 
p_village_183|安 八 郡 
p_village_184|春 日 井 郡 
p_village_185|加 东 郡 
p_village_186|英 田 郡 
p_village_187|吉 野 郡 
p_village_188|佐 用 郡 
p_village_189|神 东 郡 
p_fort_1|佐 渡 
p_fort_2|对 马 
p_fort_3|根 来 寺 
p_fort_4|延 暦 寺 
p_fort_5|西 虾 夷 地 
p_fort_6|东 虾 夷 地 
p_salt_mine|盐 矿 
p_four_ways_inn|四 方 客 栈 
p_test_scene|测 试 场 景 
p_battlefields|战 场 
p_dhorak_keep|多 拉 克 要 塞 
p_training_ground|训 练 场 
p_training_ground_1|训 练 场 
p_training_ground_2|训 练 场 
p_training_ground_3|训 练 场 
p_training_ground_4|训 练 场 
p_training_ground_5|训 练 场 
p_seto_pirate_spawn_point|九 州 
p_kanto_rebel_spawn_point|关 东 
p_shinano_rebel_spawn_point|信 浓 
p_woku_pirate_spawn_point|濑 户 内 海 
p_kinai_rebel_spawn_point|畿 内 
p_monk_rebel_spawn_point|东 海 道 
p_northern_raider_spawn_point|虾 夷 
